# MiniMax H3 — character usability index
#
# Which named characters H3 actually reproduces when you write the name and
# nothing else. Compiled by malcolmrey by generating test clips per character
# and judging each one by eye:
#   https://huggingface.co/datasets/malcolmrey/various  (h3-center/known-characters)
# Snapshot of the INDEX.md generated 2026-08-21. Community testing, not an
# official MiniMax list, and one person's judgement of a handful of clips —
# treat it as a strong hint, never as a guarantee.
#
# status	name	actor	franchise	clips
#   g  reproduced recognisably       f  mixed        b  did not reproduce
# actor is blank when it is the same as the name (the real-person rows).
g	Abby Sciuto	Pauley Perrette	NCIS	1
g	Ace Ventura	Jim Carrey	Ace Ventura	2
g	Adam Driver		Real Person / Celebrity	1
g	Adam Sandler		Real Person / Celebrity	1
g	Adonis Creed	Michael B. Jordan	Creed	1
g	Adrian Monk	Tony Shalhoub	Monk	1
g	Alan Dutch Schaefer	Arnold Schwarzenegger	Predator	1
g	Alan Harper	Jon Cryer	Two and a Half Men	1
g	Aldo Raine	Brad Pitt	Inglourious Basterds	1
g	Alex Munday	Lucy Liu	Charlie's Angels	1
g	Alluri Sitarama Raju	Ram Charan	RRR	1
g	Alonzo Harris	Denzel Washington	Training Day	1
g	Alvy Singer	Woody Allen	Annie Hall	1
g	Amy Farrah Fowler	Mayim Bialik	The Big Bang Theory	1
g	Anakin Skywalker	Hayden Christensen	Star Wars	1
g	Andy Bernard	Ed Helms	The Office	1
g	Andy Sachs	Anne Hathaway	The Devil Wears Prada	1
g	Andy Stitzer	Steve Carell	The 40-Year-Old Virgin	1
g	Angel	David Boreanaz	Buffy the Vampire Slayer	1
g	Angelina Jolie		Real Person / Celebrity	1
g	Annalise Keating	Viola Davis	How to Get Away with Murder	1
g	Anne Hathaway		Real Person / Celebrity	1
g	Annette Hargrove	Reese Witherspoon	Cruel Intentions	1
g	Anthony DiNozzo	Michael Weatherly	NCIS	1
g	Anthony Hopkins		Real Person / Celebrity	1
g	Anthony Mackie		Real Person / Celebrity	1
g	Ashton Kutcher		Real Person / Celebrity	1
g	Axel Foley	Eddie Murphy	Beverly Hills Cop	1
g	Barack Obama		Real Person / Celebrity	2
g	Barney Ross	Sylvester Stallone	The Expendables	1
g	Barney Stinson	Neil Patrick Harris	How I Met Your Mother	1
g	Barry Allen / The Flash	Grant Gustin	The Flash	1
g	Bella Swan	Kristen Stewart	Twilight	1
g	Ben Affleck		Real Person / Celebrity	1
g	Ben Stiller		Real Person / Celebrity	1
g	Benjamin Franklin Gates	Nicolas Cage	National Treasure	1
g	Benoit Blanc	Daniel Craig	Knives Out	1
g	Bernadette Rostenkowski	Melissa Rauch	The Big Bang Theory	1
g	Beth Smith	Sarah Chalke	Rick and Morty	1
g	Bilbo Baggins	Martin Freeman	The Hobbit	1
